INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - Field	Freq.
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - ----------------
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - ~rdf:subject	801
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://www.w3.org/1999/02/22-rdf-syntax-ns#type	422
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://vocab.deri.ie/void#inDataset	256
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://www.w3.org/2007/05/powder-s#describedby	256
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://xmlns.com/foaf/0.1/primaryTopic	256
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/vocab/frbr/core#exemplarOf	221
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/vocab/frbr/core#owner	221
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/vocab/frbr/core#exemplar	221
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/ontology/daia/label	148
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 088  .e	138
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 088  .b	134
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 101-1.p	105
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 101-1.d	104
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - LOW-1.a	102
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 109-1.p	60
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/contributor	60
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 109-1.d	60
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 952-1.g	47
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://www.w3.org/2002/07/owl#sameAs	46
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 201-1.k	44
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/subject	40
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://rdvocab.info/Elements/placeOfPublication	37
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/language	35
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/elements/1.1/publisher	35
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/isPartOf	34
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 655e9.u	33
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 655e9.2	33
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - SYS.	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 030.	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 070-1.a	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://rdvocab.info/Elements/publicationStatement	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - FMT.	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/lobid/lv#hbzID	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://xmlns.com/foaf/0.1/isPrimaryTopicOf	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - LDR.	32
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/title	30
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - http://purl.org/dc/terms/issued	30
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 201-1.h	30
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 002a1.a	29
INFO main org.culturegraph.mf.framework.DefaultStreamReceiver - 801-1.p	26
