|*field*|*frequency*|
|~rdf:subject|801|
|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|422|
|http://vocab.deri.ie/void#inDataset|256|
|http://www.w3.org/2007/05/powder-s#describedby|256|
|http://xmlns.com/foaf/0.1/primaryTopic|256|
|http://purl.org/vocab/frbr/core#exemplarOf|221|
|http://purl.org/vocab/frbr/core#owner|221|
|http://purl.org/vocab/frbr/core#exemplar|221|
|http://purl.org/ontology/daia/label|148|
|088  .e|138|
|088  .b|134|
|101-1.p|105|
|101-1.d|104|
|LOW-1.a|102|
|109-1.p|60|
|http://purl.org/dc/terms/contributor|60|
|109-1.d|60|
|952-1.g|47|
|http://www.w3.org/2002/07/owl#sameAs|46|
|201-1.k|44|
|http://purl.org/dc/terms/subject|40|
|http://rdvocab.info/Elements/placeOfPublication|37|
|http://purl.org/dc/terms/language|35|
|http://purl.org/dc/elements/1.1/publisher|35|
|http://purl.org/dc/terms/isPartOf|34|
|655e9.u|33|
|655e9.2|33|
|SYS.|32|
|030.|32|
|070-1.a|32|
|http://rdvocab.info/Elements/publicationStatement|32|
|FMT.|32|
|http://purl.org/lobid/lv#hbzID|32|
|http://xmlns.com/foaf/0.1/isPrimaryTopicOf|32|
|LDR.|32|
|http://purl.org/dc/terms/title|30|
|http://purl.org/dc/terms/issued|30|
|201-1.h|30|
|002a1.a|29|
|801-1.p|26|
|801-1.d|26|
|http://iflastandards.info/ns/isbd/elements/P1053|25|
|080-1.a|25|
|http://purl.org/dc/terms/creator|24|
|952-1.h|23|
|952-1.s|23|
|036a1.a|23|
|http://rdvocab.info/Elements/otherTitleInformation|22|
|801-1.c|22|
|101-1.c|22|
|201-2.k|22|
|http://rdvocab.info/Elements/statementOfResponsibility|21|
|026-1.a|20|
|109-1.c|20|
|105-1.p|20|
|003-1.a|20|
|105-1.d|19|
|070b1.a|18|
|952-1.k|17|
|http://purl.org/dc/terms/hasPart|17|
|http://purl.org/ontology/bibo/volume|16|
|070a1.a|13|
|105-1.c|13|
|http://purl.org/dc/terms/bibliographicCitation|13|
|http://purl.org/ontology/bibo/isbn|12|
|088  .d|12|
|http://purl.org/ontology/bibo/isbn13|12|
|100-1.p|11|
|http://id.loc.gov/vocabulary/relators/act|11|
|101-1.n|11|
|100-1.d|10|
|201-2.b|10|
|952-1.b|9|
|113-1.p|9|
|113-1.d|9|
|004-1.a|8|
|370c2.a|8|
|LAL-1.b|8|
|100b1.p|8|
|http://purl.org/ontology/bibo/edition|7|
|529z1.p|7|
|529z1.a|7|
|507-2.a|7|
|104b1.p|7|
|952-2.g|7|
|655e1.A|6|
|700z1.a|6|
|LAL-1.a|6|
|425-1.a|6|
|078e1.a|6|
|952-1.x|5|
|002a2.a|5|
|425b2.a|5|
|http://purl.org/dc/terms/hasVersion|5|
|655e .y|5|
|200b1.k|5|
|205-1.k|5|
|501-1.a|5|
|070b2.a|5|
|952-2.s|5|
|http://purl.org/dc/terms/medium|5|
|http://purl.org/lobid/lv#fulltextOnline|5|
|104b1.d|5|
